,2014,2015,2016,2017,2018,2019,2020,2021
Alabama,0.00018051141734714722,0.00019619371821512352,0.0002590713525683532,0.0002884406684109873,0.0002582001566796196,0.0002551402812661566,0.0002529716204056343,0.00030278516717769104
Alaska,0.00010457935331930792,0.00020610225383662059,0.00025490386482812194,0.00018791401919697175,0.00016051386200432844,0.0001366969906157516,0.00011044586039370541,0.00011601355584278388
Arizona,6.448341283068365e-05,6.017855019769606e-05,8.26961599015253e-05,8.36171679532448e-05,8.032943169790993e-05,8.353120474391297e-05,0.00011046630484057754,0.00011338155187322815
Arkansas,0.00013041755184350432,0.00013565933121292874,0.0001822792464542506,0.0002195682269116013,0.0001790856531127512,0.000186228131449226,0.00022081842947291804,0.00020291543879141715
California,7.430634714039225e-05,7.263982556163856e-05,8.113949260038721e-05,8.582644809836107e-05,7.79745609832022e-05,8.159500415858657e-05,0.00010076325382655664,0.00010306378771754894
Colorado,5.663444484505993e-05,8.366016141641056e-05,9.152921487972573e-05,8.909662261432655e-05,9.031349148268222e-05,9.30759805624012e-05,0.00013492181981996339,0.00015502224767118217
Connecticut,7.372325236943751e-05,0.00011652795751022686,0.0001196151856508729,0.00010662421847386321,9.183764895618672e-05,0.00012032691898295985,0.00018025792968498678,0.00016252509639873785
Delaware,0.00024557983113973706,0.00027941507694007555,0.00024343438494879975,0.0003208534911890705,0.00016882811537071235,0.00020846940326403523,0.00032223914791484,0.0002999848512633249
Florida,0.0001105013521425144,0.00011608665071803008,0.0001381620383596615,0.0001320860101739142,0.00011739610174335094,0.0001220799006897235,0.0001337159901156026,0.0001241900786772843
Georgia,0.00012654860628662484,0.00016584062382011714,0.00013638274141929295,0.00016531656537304774,0.0001357608424821268,0.0001453271664885161,0.00017177145285415072,0.00020648977931150196
Hawaii,1.4845836591169696e-05,2.6721948283185144e-05,3.572531853324451e-05,1.965749621066658e-05,3.8716226251994767e-05,3.107625548072142e-05,2.954776120736275e-05,3.676590454877483e-05
Idaho,3.678472109824463e-05,4.6031062487773e-05,4.636289066679347e-05,4.948434402680305e-05,4.9699063601091326e-05,3.189587396093595e-05,4.784933549235335e-05,5.5236324669647325e-05
Illinois,0.00022236032104639274,0.00027381785692149875,0.0003966295613277052,0.0003596573958112591,0.0003051936124541001,0.0002847262441601724,0.00041264364478835837,0.00045764228283240086
Indiana,0.00013710173009037188,0.0001588881581714969,0.00017982293244325252,0.0001725723249262024,0.0001641401676380409,0.00018077249120980763,0.00023137477289902864,0.0002318547572467468
Iowa,6.753823146316754e-05,8.202604326873783e-05,8.335007254011102e-05,9.740414763412964e-05,6.733112749784191e-05,8.621044857958777e-05,0.00010092876403952019,0.00010554076488555403
Kansas,8.481369430869081e-05,0.00010828422443228987,0.00012882861465609286,0.000143705921302787,0.00014151466720524675,0.00014107645107942364,0.00014193908532683433,0.00012880880479741236
Kentucky,0.00010986897501760735,0.0001479899574692678,0.00017597295469180848,0.0001785606796356374,0.00015825505200113064,0.0001660819849617463,0.00023258724906987294,0.000235951881782785
Louisiana,0.00027497769709085654,0.00029648666517458625,0.0003469331261282541,0.0003736168682128053,0.0003159008431891392,0.0003615991588356034,0.0004469962688049205,0.0004888619135777156
Maine,3.3069951214306064e-05,4.592467449945869e-05,4.131247479000118e-05,5.095113785879342e-05,4.0326886756874425e-05,4.8355467738719786e-05,4.4041254911517446e-05,4.080897972449566e-05
Maryland,0.00014771834744127483,0.00020215311444439136,0.0001992229969968299,0.0002254365467503604,0.0002301268331863769,0.0002527424541159969,0.0002575590588911783,0.00029796619016406634
Massachusetts,5.840952202379086e-05,7.226722447347955e-05,8.499902104575762e-05,8.425915141121688e-05,7.075778390107858e-05,6.514324331813857e-05,7.638781510507165e-05,6.041757131957846e-05
Michigan,9.657751055202456e-05,0.00010008341963094994,0.00010833549150093999,0.00011571110086578776,0.00013010723480359518,0.00013517766400380018,0.0002295250597603671,0.00022465848775785356
Minnesota,4.898112832340166e-05,5.034629495048551e-05,5.866648897721857e-05,7.114330525328633e-05,5.5117066687548124e-05,6.613906722991854e-05,0.00013861400712942133,0.00016645086458083293
Mississippi,0.00017789857641011374,0.00018638293629083235,0.0002643963830574798,0.00030751110084958726,0.00028044092290558265,0.00029803615343183424,0.0003204696349111313,0.0003216987320188545
Missouri,0.00016478974776600912,0.00023255308370000521,0.000222436334991749,0.0002518557577206563,0.00024372621443692302,0.0002483124852951432,0.0003112960329414892,0.0002428590443188574
Montana,5.6758743048277226e-05,6.890026444115578e-05,6.244842000693657e-05,7.030999104972817e-05,6.31679182399721e-05,6.923795212850564e-05,8.116396504415596e-05,7.425713434473966e-05
Nebraska,0.00010429298666912146,0.00012531215681256633,0.00011439870362129621,9.864573498118685e-05,0.00010749817980135167,0.00011321293129474237,0.0001172569620046658,0.0001206910248654066
Nevada,0.0001054078111092025,0.00014580010247863663,0.0001662346280097465,0.0003091007961534123,0.00013047753787895054,9.739766427414715e-05,0.00013914773301930612,0.0001345423698731962
New Hampshire,3.9749771438814225e-05,3.591873386463127e-05,4.395417739757e-05,3.8553159246048485e-05,3.768106304928461e-05,4.7804276055720667e-05,3.847468909910427e-05,3.743722066073815e-05
New Jersey,9.645186854343577e-05,8.468700034246927e-05,0.00010799444065361662,0.00010657783304869436,9.182958634485049e-05,9.98627590718055e-05,0.00011013033273570851,0.00011610930244854663
New Mexico,7.89636901024518e-05,0.00012923044228879558,0.00012334877583511424,0.00012716418138775324,0.00013666287419226747,0.00015928814414527842,0.00016859328970371973,0.0002088968309594556
New York,6.64086685652252e-05,0.00010063768064031208,8.597581634750692e-05,7.345744970844693e-05,6.809913452144306e-05,7.674687426122137e-05,0.00014330797071012788,0.00014488871775148439
North Carolina,0.00013067701263489657,0.000157401885991591,0.0001761730525541252,0.0001671173608935442,0.00015074725849494516,0.0001643770206264557,0.00019474321674795497,0.00019666080380530598
North Dakota,4.8820112801582857e-05,6.498104940416356e-05,6.760034675001392e-05,6.358104331193654e-05,5.936048965808358e-05,4.461579241584018e-05,6.161002395089681e-05,6.323004898393182e-05
Ohio,0.0001333310350177114,0.00015812315306002733,0.00017921039128031857,0.00019014292881861804,0.00016306478202375213,0.00017238281818104045,0.00022518002537067836,0.000226315462872422
Oklahoma,0.00010107815842815212,0.00016012277784882976,0.00016809586354283427,0.00015923421063074046,0.00017435508288211237,0.00016906871442828365,0.00015633867452586318,0.00016480047478590362
Oregon,5.298689659279116e-05,7.470506440572619e-05,6.35700551788079e-05,6.467766750128209e-05,6.384679065856889e-05,6.211861953459877e-05,9.204069803665392e-05,0.00010809779671255524
Pennsylvania,0.0001387204082352379,0.0001266344962379621,0.00013941180267205955,0.0001562446114963659,0.00018850204696192977,0.00019262631767610487,0.00026179178170687625,0.0002685887811654007
Rhode Island,8.239135705194254e-05,9.563805258199069e-05,9.462797013541262e-05,8.525367230193441e-05,7.653878390266535e-05,5.663791663087465e-05,7.563476246583906e-05,8.670968684112048e-05
South Carolina,0.00018471615802000864,0.0002295613722005471,0.00022448712859784493,0.00023778854265496286,0.00021557167010611005,0.00024899421486608114,0.00027801520975690764,0.00027741896332001147
South Dakota,3.886335291810785e-05,6.323273863332975e-05,6.37314657310115e-05,4.582594389987948e-05,5.462627660470378e-05,3.9563266750239356e-05,7.105260486744177e-05,6.0309858651560906e-05
Tennessee,0.00018039440025206295,0.0002151363111556825,0.00024601226901554464,0.0002542929069718738,0.0002283054112074329,0.00023384965736705495,0.00026639308680276205,0.00026823534404229375
Texas,7.821443237628017e-05,9.02073151944066e-05,0.00010428305667216324,9.665925471014186e-05,9.473022599097003e-05,0.00011294707686239987,0.0001498344255829501,0.00016790876139992288
Utah,4.494567191906783e-05,5.6005781674707014e-05,5.062678590918475e-05,5.8045005517500245e-05,4.439441264606555e-05,4.6475967557903126e-05,6.510544024726618e-05,6.351156015248766e-05
Vermont,7.517426033326189e-05,5.118231139318252e-05,3.6879246124071404e-05,3.203362249016568e-05,6.086251797846748e-05,4.006480883477113e-05,4.820573586055791e-05,4.647056089967006e-05
Virginia,0.00010143192275580066,0.00013107213176863185,0.00017157928806129196,0.0001561985479679006,0.0001431548121072506,0.00015652240947504188,0.00018015632007487088,0.00018270654228273717
Washington,5.755065272504467e-05,6.895919221146406e-05,6.63488956678695e-05,7.893997355915015e-05,7.044248112241189e-05,6.881252303873475e-05,7.176895949673996e-05,8.21844311674376e-05
West Virginia,9.786486970184737e-05,0.00011617491381884314,0.0001512815513513484,0.00013153520850807152,0.00010807569288989415,0.00012889567652653493,0.0001404904678332579,0.00012563384800211335
Wisconsin,0.00010814523104741785,0.00013799831277534568,0.00011883668928605827,0.0001278024574685511,0.00013155615433121088,0.00013138835064510821,0.00022210088775879674,0.0002516999926050407
Wyoming,4.6349464663683134e-05,6.147404514585571e-05,5.135095812329365e-05,3.800107439401241e-05,4.8476370366394794e-05,5.529071686142246e-05,5.200649734506831e-05,3.6281774627982236e-05
